0310_ZFFL55_AAN155_1E-6_ACN_exc375_comparative

Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_O2_NewSample,0310_ZFFL55_AAN155_1E-6_ACN_exc375_5min argon,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_O2,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_5min Argon,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,

688.00,1.91880615E+3,1.20387900E+4,7.69136768E+3,3.48621758E+4,
690.00,2.04350659E+3,1.09566611E+4,6.91596973E+3,3.41181563E+4,
692.00,1.87695862E+3,1.09538730E+4,6.69240771E+3,3.40620977E+4,
694.00,2.20487280E+3,1.06100117E+4,6.80948779E+3,3.22197715E+4,
696.00,1.66539636E+3,1.08870225E+4,6.85895850E+3,3.26161445E+4,
698.00,1.93995569E+3,1.02516396E+4,6.22942920E+3,3.10921582E+4,
700.00,1.72261975E+3,1.07720303E+4,6.48439746E+3,3.00600664E+4,
702.00,1.99876221E+3,1.02609297E+4,6.25612891E+3,3.10428223E+4,
704.00,1.78091382E+3,1.10786279E+4,6.36273682E+3,2.99525273E+4,
706.00,1.73859070E+3,1.01721230E+4,6.01034277E+3,2.70882598E+4,
708.00,1.84758862E+3,1.01285127E+4,5.82552588E+3,2.86966797E+4,
710.00,1.71159265E+3,9.83013867E+3,6.00272119E+3,2.73577129E+4,
712.00,1.80148071E+3,1.03711172E+4,5.79788965E+3,2.60823516E+4,
714.00,1.44380078E+3,9.33789551E+3,5.59668750E+3,2.72957188E+4,
716.00,1.67985632E+3,9.46701563E+3,5.26238721E+3,2.56808809E+4,
718.00,1.59283862E+3,9.09758691E+3,5.12432324E+3,2.49908242E+4,
720.00,1.59578857E+3,8.68939063E+3,5.25514990E+3,2.40127773E+4,
722.00,1.28384363E+3,8.41669727E+3,4.97027100E+3,2.46405488E+4,
724.00,1.35283887E+3,8.90611426E+3,4.85968359E+3,2.31613359E+4,
726.00,1.29621521E+3,9.02980762E+3,4.25012402E+3,2.27612656E+4,
728.00,1.19892310E+3,7.72071729E+3,4.41305762E+3,2.28436875E+4,
730.00,1.31105164E+3,8.05714746E+3,4.17844580E+3,2.16884512E+4,
732.00,1.33701917E+3,8.02421582E+3,4.11955127E+3,2.07760020E+4,
734.00,1.22421204E+3,7.67986230E+3,4.15355859E+3,2.05993379E+4,
736.00,9.38557678E+2,7.75593652E+3,3.63272534E+3,2.04512832E+4,
738.00,1.00050171E+3,7.43581104E+3,4.11587695E+3,1.89302324E+4,
740.00,1.21391748E+3,7.60926611E+3,3.71533154E+3,1.97608086E+4,
742.00,1.08229346E+3,7.44493506E+3,3.38194141E+3,1.92984746E+4,
744.00,1.20096289E+3,6.95170215E+3,3.98100073E+3,1.79358770E+4,
746.00,1.06053662E+3,7.31635986E+3,4.42331348E+3,1.80903242E+4,
748.00,1.05320410E+3,6.93579248E+3,3.77018750E+3,1.66836973E+4,
750.00,1.07733472E+3,6.81407129E+3,3.58010449E+3,1.62639004E+4,
752.00,9.14951782E+2,6.27538232E+3,3.41697314E+3,1.69156758E+4,
754.00,1.15549927E+3,6.61510498E+3,3.24552612E+3,1.57018740E+4,
756.00,7.96517700E+2,6.25038135E+3,3.07890894E+3,1.47317178E+4,
758.00,8.60731018E+2,5.90299609E+3,3.08899902E+3,1.53391572E+4,
760.00,7.92516479E+2,6.22826611E+3,3.13117847E+3,1.41833965E+4,
