1909_ZFFL55_AAN155_1E-5_ACN_exc375_ALL

Labels,1908_ZFFL55_AAN155_1E-5_ACN_exc375_O2,1909_ZFFL55_AAN155_1E-5_ACN_exc375_1minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_2minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_3minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_4minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

562.00,1.07443906E+5,1.52221328E+5,1.65938344E+5,1.63339172E+5,1.65924000E+5,1.65676922E+5,
564.00,1.03662297E+5,1.49516766E+5,1.64457281E+5,1.62588031E+5,1.64305156E+5,1.63716016E+5,
566.00,1.01543672E+5,1.46511094E+5,1.61661109E+5,1.59792078E+5,1.62718953E+5,1.61829484E+5,
568.00,9.71637891E+4,1.44156063E+5,1.59316922E+5,1.57909688E+5,1.60412000E+5,1.59794516E+5,
570.00,9.36398281E+4,1.42056031E+5,1.56576578E+5,1.54842375E+5,1.57975219E+5,1.56770703E+5,
572.00,8.98341641E+4,1.40158797E+5,1.55840547E+5,1.52586719E+5,1.57246781E+5,1.55660797E+5,
574.00,8.76838359E+4,1.37452844E+5,1.52587125E+5,1.50968563E+5,1.53985797E+5,1.53189125E+5,
576.00,8.49315859E+4,1.36235406E+5,1.49728109E+5,1.48840953E+5,1.53090406E+5,1.53157047E+5,
578.00,8.29508125E+4,1.35362328E+5,1.49685188E+5,1.45495359E+5,1.51978141E+5,1.51016141E+5,
580.00,7.99754141E+4,1.32720797E+5,1.48356469E+5,1.46504875E+5,1.49124922E+5,1.50117609E+5,
582.00,7.69186328E+4,1.29199797E+5,1.47060156E+5,1.45195891E+5,1.48981844E+5,1.48664109E+5,
584.00,7.46388672E+4,1.29847813E+5,1.45129328E+5,1.41996938E+5,1.48435438E+5,1.46718344E+5,
586.00,7.20957813E+4,1.27897781E+5,1.43250109E+5,1.40964063E+5,1.46190281E+5,1.46409031E+5,
588.00,7.04910547E+4,1.25465625E+5,1.42060266E+5,1.39905109E+5,1.45422594E+5,1.44581266E+5,
590.00,6.84203125E+4,1.24188477E+5,1.44173625E+5,1.39731953E+5,1.43964313E+5,1.43227547E+5,
592.00,6.59920938E+4,1.24034391E+5,1.40038219E+5,1.38346453E+5,1.42983547E+5,1.42463906E+5,
