Labels,1909_LIFETIME_AAN155_EPL375_50KHz_20micro_9182ch_30min_slit2_emi502_1minAr,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19997.559000,
Step,2.4414063,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

1174.316400,3.00000000E+0,
1176.757800,3.00000000E+0,
1179.199200,4.00000000E+0,
1181.640600,2.00000000E+0,
1184.082000,2.00000000E+0,
1186.523400,2.00000000E+0,
1188.964800,6.00000000E+0,
1191.406300,0.00000000E+0,
1193.847700,3.00000000E+0,
1196.289100,0.00000000E+0,
1198.73000,4.00000000E+0,
1201.171900,4.00000000E+0,
1203.613300,2.00000000E+0,
1206.054700,4.00000000E+0,
1208.496100,1.00000000E+0,
1210.937500,4.00000000E+0,
1213.378900,3.00000000E+0,
1215.82000,5.00000000E+0,
1218.261700,3.00000000E+0,
1220.703100,2.00000000E+0,
1223.144500,1.00000000E+0,
1225.585900,2.00000000E+0,
1228.027300,2.00000000E+0,
1230.468800,4.00000000E+0,
1232.91000,1.00000000E+0,
1235.351600,4.00000000E+0,
1237.793000,1.00000000E+0,
1240.234400,1.00000000E+0,
1242.675800,2.00000000E+0,
1245.117200,1.00000000E+0,
1247.558600,3.00000000E+0,
1250.00,2.00000000E+0,
1252.441400,2.00000000E+0,
1254.882800,2.00000000E+0,
1257.324200,0.00000000E+0,
1259.765600,0.00000000E+0,
1262.207000,1.00000000E+0,
1264.648400,3.00000000E+0,
1267.09000,3.00000000E+0,
1269.531300,6.00000000E+0,
1271.972700,4.00000000E+0,
1274.414100,2.00000000E+0,
1276.855500,2.00000000E+0,
1279.296900,2.00000000E+0,
1281.738300,2.00000000E+0,
1284.18000,1.00000000E+0,
1286.621100,2.00000000E+0,
1289.062500,3.00000000E+0,
1291.503900,5.00000000E+0,
1293.945300,5.00000000E+0,
1296.386700,4.00000000E+0,
1298.828100,1.00000000E+0,
1301.27000,0.00000000E+0,
1303.710900,1.00000000E+0,
1306.152300,3.00000000E+0,
1308.593800,5.00000000E+0,
1311.035200,2.00000000E+0,
1313.476600,3.00000000E+0,
1315.918000,4.00000000E+0,
1318.359400,2.00000000E+0,
1320.800800,4.00000000E+0,
1323.242200,3.00000000E+0,
1325.683600,4.00000000E+0,
1328.125000,5.00000000E+0,
1330.566400,4.00000000E+0,
1333.007800,3.00000000E+0,
1335.449200,2.00000000E+0,
1337.890600,0.00000000E+0,
1340.332000,3.00000000E+0,
1342.773400,1.00000000E+0,
1345.214800,0.00000000E+0,
1347.656300,2.00000000E+0,
1350.097700,5.00000000E+0,
1352.539100,2.00000000E+0,
1354.98000,5.00000000E+0,
1357.421900,1.00000000E+0,
1359.863300,6.00000000E+0,
1362.304700,1.00000000E+0,
1364.746100,3.00000000E+0,
1367.187500,1.00000000E+0,
1369.628900,0.00000000E+0,
1372.07000,2.00000000E+0,
1374.511700,4.00000000E+0,
1376.953100,2.00000000E+0,
1379.394500,0.00000000E+0,
1381.835900,2.00000000E+0,
1384.277300,4.00000000E+0,
1386.718800,3.00000000E+0,
1389.16000,2.00000000E+0,
1391.601600,2.00000000E+0,
1394.043000,2.00000000E+0,
1396.484400,9.00000000E+0,
1398.925800,0.00000000E+0,
1401.367200,1.00000000E+0,
1403.808600,1.00000000E+0,
1406.25000,0.00000000E+0,
