2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_ALL

Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_O2,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_1min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_2min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_3min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_4min,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_5min,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

658.00,4.57962148E+4,2.95449781E+5,3.14927219E+5,4.05037531E+5,3.94456719E+5,3.80626938E+5,
660.00,4.63735078E+4,2.93152375E+5,3.12392250E+5,3.98870250E+5,3.88755938E+5,3.74794281E+5,
662.00,4.45112773E+4,2.88368000E+5,3.06450688E+5,3.94230469E+5,3.82469406E+5,3.67658438E+5,
664.00,4.30407656E+4,2.83581531E+5,2.99546844E+5,3.90140656E+5,3.78713344E+5,3.61438625E+5,
666.00,4.30758281E+4,2.78521063E+5,2.99071250E+5,3.82773406E+5,3.74619719E+5,3.59269813E+5,
668.00,4.31335313E+4,2.76022594E+5,2.89498594E+5,3.75255313E+5,3.66952813E+5,3.53386969E+5,
670.00,4.23527383E+4,2.70580844E+5,2.88353281E+5,3.66290125E+5,3.57194031E+5,3.43470344E+5,
672.00,4.16013203E+4,2.64029375E+5,2.82703750E+5,3.61228531E+5,3.52338250E+5,3.36073281E+5,
674.00,4.01985195E+4,2.59075078E+5,2.73218281E+5,3.54077438E+5,3.44432406E+5,3.31200938E+5,
676.00,3.89014570E+4,2.56141703E+5,2.68371188E+5,3.44869125E+5,3.33293500E+5,3.22835625E+5,
678.00,3.83106875E+4,2.46900922E+5,2.63818875E+5,3.38508688E+5,3.32838938E+5,3.17412313E+5,
680.00,3.76377578E+4,2.43078625E+5,2.60035484E+5,3.30030594E+5,3.19939219E+5,3.12345813E+5,
682.00,3.65010820E+4,2.34681125E+5,2.51368281E+5,3.29071594E+5,3.14053531E+5,2.99325094E+5,
684.00,3.65129883E+4,2.32307672E+5,2.46838703E+5,3.18286406E+5,3.10345281E+5,2.95650188E+5,
686.00,3.53114883E+4,2.27867688E+5,2.44372453E+5,3.13645781E+5,3.03112906E+5,2.95926969E+5,
688.00,3.38085078E+4,2.21773422E+5,2.39534828E+5,3.06650563E+5,3.03252375E+5,2.84798813E+5,
690.00,3.42588125E+4,2.15262172E+5,2.33906438E+5,2.99727813E+5,2.92150688E+5,2.82820125E+5,
692.00,3.28599414E+4,2.11532422E+5,2.25621516E+5,2.93896969E+5,2.83509125E+5,2.74322000E+5,
694.00,3.18587930E+4,2.07645906E+5,2.20851203E+5,2.85067313E+5,2.77409750E+5,2.69165781E+5,
696.00,3.14598809E+4,2.04147078E+5,2.17813281E+5,2.79689594E+5,2.72596063E+5,2.62200094E+5,
698.00,3.12573203E+4,1.99167781E+5,2.17418609E+5,2.74549156E+5,2.69245156E+5,2.57462172E+5,
700.00,3.04818887E+4,1.95641141E+5,2.07689625E+5,2.67590406E+5,2.59908828E+5,2.51447563E+5,
702.00,3.02432422E+4,1.88809703E+5,2.03941031E+5,2.60691609E+5,2.56718594E+5,2.46210797E+5,
704.00,2.79922207E+4,1.87700031E+5,1.99144719E+5,2.59495719E+5,2.46866359E+5,2.40065719E+5,
