Labels,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

2172.851600,6.00000000E+0,
2177.734400,8.00000000E+0,
2182.617200,1.10000000E+1,
2187.5000,8.00000000E+0,
2192.382800,4.00000000E+0,
2197.265600,5.00000000E+0,
2202.148400,7.00000000E+0,
2207.031300,5.00000000E+0,
2211.914100,4.00000000E+0,
2216.796900,1.00000000E+1,
2221.68000,1.10000000E+1,
2226.562500,5.00000000E+0,
2231.445300,7.00000000E+0,
2236.328100,4.00000000E+0,
2241.210900,1.10000000E+1,
2246.093800,6.00000000E+0,
2250.976600,8.00000000E+0,
2255.859400,1.10000000E+1,
2260.742200,6.00000000E+0,
2265.625000,7.00000000E+0,
2270.507800,1.40000000E+1,
2275.390600,4.00000000E+0,
2280.273400,7.00000000E+0,
2285.156300,7.00000000E+0,
2290.039100,7.00000000E+0,
2294.921900,8.00000000E+0,
2299.804700,6.00000000E+0,
2304.687500,1.50000000E+1,
2309.57000,6.00000000E+0,
2314.453100,6.00000000E+0,
2319.335900,1.00000000E+0,
2324.218800,3.00000000E+0,
2329.101600,9.00000000E+0,
2333.984400,9.00000000E+0,
2338.867200,3.00000000E+0,
2343.75000,8.00000000E+0,
2348.632800,7.00000000E+0,
2353.515600,1.10000000E+1,
2358.398400,8.00000000E+0,
2363.281300,1.00000000E+1,
2368.164100,9.00000000E+0,
2373.046900,1.10000000E+1,
2377.93000,1.50000000E+1,
2382.812500,9.00000000E+0,
2387.695300,5.00000000E+0,
2392.578100,5.00000000E+0,
2397.460900,5.00000000E+0,
2402.343800,9.00000000E+0,
2407.226600,1.30000000E+1,
2412.109400,9.00000000E+0,
2416.992200,5.00000000E+0,
2421.875000,6.00000000E+0,
2426.757800,1.00000000E+1,
2431.640600,6.00000000E+0,
2436.523400,9.00000000E+0,
2441.406300,1.00000000E+1,
2446.289100,4.00000000E+0,
2451.171900,2.00000000E+0,
2456.054700,7.00000000E+0,
2460.937500,4.00000000E+0,
2465.82000,6.00000000E+0,
2470.703100,6.00000000E+0,
2475.585900,2.00000000E+0,
2480.468800,9.00000000E+0,
2485.351600,9.00000000E+0,
2490.234400,5.00000000E+0,
2495.117200,9.00000000E+0,
2500.00,7.00000000E+0,
2504.882800,7.00000000E+0,
2509.765600,5.00000000E+0,
2514.648400,7.00000000E+0,
2519.531300,5.00000000E+0,
2524.414100,9.00000000E+0,
2529.296900,5.00000000E+0,
2534.18000,1.10000000E+1,
2539.062500,8.00000000E+0,
2543.945300,4.00000000E+0,
2548.828100,7.00000000E+0,
2553.710900,6.00000000E+0,
2558.593800,1.10000000E+1,
2563.476600,3.00000000E+0,
2568.359400,6.00000000E+0,
2573.242200,1.30000000E+1,
2578.125000,1.20000000E+1,
2583.007800,8.00000000E+0,
2587.890600,6.00000000E+0,
2592.773400,1.20000000E+1,
2597.656300,7.00000000E+0,
2602.539100,1.00000000E+1,
2607.421900,1.00000000E+1,
2612.304700,8.00000000E+0,
2617.187500,8.00000000E+0,
2622.07000,1.00000000E+1,
2626.953100,7.00000000E+0,
2631.835900,4.00000000E+0,
2636.718800,6.00000000E+0,
2641.601600,5.00000000E+0,
2646.484400,7.00000000E+0,
2651.367200,1.10000000E+1,
2656.25000,5.00000000E+0,
2661.132800,3.00000000E+0,
2666.015600,7.00000000E+0,
2670.898400,1.20000000E+1,
2675.781300,9.00000000E+0,
2680.664100,8.00000000E+0,
2685.546900,1.00000000E+1,
2690.43000,1.40000000E+1,
2695.312500,1.50000000E+1,
2700.195300,8.00000000E+0,
2705.078100,7.00000000E+0,
2709.960900,6.00000000E+0,
2714.843800,6.00000000E+0,
2719.726600,5.00000000E+0,
2724.609400,1.40000000E+1,
2729.492200,1.10000000E+1,
2734.375000,5.00000000E+0,
2739.257800,5.00000000E+0,
2744.140600,4.00000000E+0,
2749.023400,8.00000000E+0,
2753.906300,1.20000000E+1,
2758.789100,1.40000000E+1,
2763.671900,1.50000000E+1,
2768.554700,8.00000000E+0,
2773.437500,3.00000000E+0,
2778.32000,7.00000000E+0,
2783.203100,9.00000000E+0,
2788.085900,9.00000000E+0,
2792.968800,5.00000000E+0,
2797.851600,6.00000000E+0,
2802.734400,1.00000000E+1,
2807.617200,1.10000000E+1,
2812.5000,1.00000000E+1,
2817.382800,6.00000000E+0,
2822.265600,8.00000000E+0,
2827.148400,1.00000000E+1,
2832.031300,1.00000000E+1,
2836.914100,7.00000000E+0,
2841.796900,1.10000000E+1,
2846.68000,3.00000000E+0,
2851.562500,9.00000000E+0,
2856.445300,7.00000000E+0,
2861.328100,3.00000000E+0,
2866.210900,3.00000000E+0,
2871.093800,1.10000000E+1,
2875.976600,8.00000000E+0,
2880.859400,5.00000000E+0,
2885.742200,4.00000000E+0,
2890.625000,7.00000000E+0,
2895.507800,5.00000000E+0,
2900.390600,7.00000000E+0,
2905.273400,8.00000000E+0,
2910.156300,5.00000000E+0,
2915.039100,1.00000000E+1,
2919.921900,1.00000000E+1,
2924.804700,4.00000000E+0,
2929.687500,7.00000000E+0,
2934.57000,6.00000000E+0,
2939.453100,1.10000000E+1,
2944.335900,6.00000000E+0,
2949.218800,5.00000000E+0,
2954.101600,1.00000000E+0,
2958.984400,1.30000000E+1,
2963.867200,1.00000000E+1,
2968.75000,5.00000000E+0,
2973.632800,8.00000000E+0,
2978.515600,6.00000000E+0,
2983.398400,1.00000000E+1,
2988.281300,5.00000000E+0,
2993.164100,1.20000000E+1,
2998.046900,2.00000000E+0,
3002.93000,5.00000000E+0,
3007.812500,6.00000000E+0,
3012.695300,1.00000000E+1,
3017.578100,6.00000000E+0,
3022.460900,4.00000000E+0,
3027.343800,8.00000000E+0,
3032.226600,7.00000000E+0,
3037.109400,6.00000000E+0,
3041.992200,5.00000000E+0,
3046.875000,3.00000000E+0,
3051.757800,1.30000000E+1,
3056.640600,7.00000000E+0,
3061.523400,5.00000000E+0,
3066.406300,6.00000000E+0,
3071.289100,1.00000000E+1,
3076.171900,6.00000000E+0,
3081.054700,8.00000000E+0,
3085.937500,1.20000000E+1,
3090.82000,3.00000000E+0,
3095.703100,4.00000000E+0,
3100.585900,4.00000000E+0,
3105.468800,7.00000000E+0,
3110.351600,6.00000000E+0,
3115.234400,6.00000000E+0,
3120.117200,7.00000000E+0,
3125.000,1.10000000E+1,
3129.882800,9.00000000E+0,
3134.765600,5.00000000E+0,
3139.648400,7.00000000E+0,
3144.531300,9.00000000E+0,
3149.414100,8.00000000E+0,
3154.296900,8.00000000E+0,
3159.18000,1.20000000E+1,
3164.062500,9.00000000E+0,
3168.945300,4.00000000E+0,
3173.828100,8.00000000E+0,
3178.710900,5.00000000E+0,
3183.593800,1.00000000E+1,
3188.476600,4.00000000E+0,
3193.359400,1.40000000E+1,
3198.242200,5.00000000E+0,
3203.125000,1.10000000E+1,
3208.007800,8.00000000E+0,
3212.890600,1.00000000E+1,
3217.773400,6.00000000E+0,
3222.656300,5.00000000E+0,
3227.539100,8.00000000E+0,
3232.421900,7.00000000E+0,
3237.304700,1.00000000E+1,
3242.187500,5.00000000E+0,
3247.07000,6.00000000E+0,
3251.953100,9.00000000E+0,
3256.835900,7.00000000E+0,
3261.718800,1.00000000E+1,
3266.601600,1.00000000E+1,
3271.484400,3.00000000E+0,
3276.367200,5.00000000E+0,
3281.25000,5.00000000E+0,
3286.132800,8.00000000E+0,
3291.015600,5.00000000E+0,
3295.898400,4.00000000E+0,
3300.781300,1.30000000E+1,
3305.664100,3.00000000E+0,
3310.546900,6.00000000E+0,
3315.43000,9.00000000E+0,
3320.312500,6.00000000E+0,
3325.195300,8.00000000E+0,
3330.078100,3.00000000E+0,
3334.960900,5.00000000E+0,
3339.843800,6.00000000E+0,
3344.726600,8.00000000E+0,
3349.609400,1.10000000E+1,
3354.492200,9.00000000E+0,
3359.375000,7.00000000E+0,
3364.257800,5.00000000E+0,
3369.140600,1.20000000E+1,
3374.023400,8.00000000E+0,
3378.906300,9.00000000E+0,
3383.789100,6.00000000E+0,
3388.671900,6.00000000E+0,
3393.554700,6.00000000E+0,
3398.437500,9.00000000E+0,
3403.32000,5.00000000E+0,
3408.203100,7.00000000E+0,
3413.085900,4.00000000E+0,
3417.968800,5.00000000E+0,
3422.851600,1.00000000E+1,
3427.734400,5.00000000E+0,
3432.617200,4.00000000E+0,
3437.5000,3.00000000E+0,
3442.382800,9.00000000E+0,
3447.265600,4.00000000E+0,
3452.148400,5.00000000E+0,
3457.031300,7.00000000E+0,
3461.914100,1.80000000E+1,
3466.796900,4.00000000E+0,
3471.68000,8.00000000E+0,
3476.562500,8.00000000E+0,
3481.445300,7.00000000E+0,
3486.328100,2.00000000E+0,
3491.210900,7.00000000E+0,
3496.093800,7.00000000E+0,
3500.976600,7.00000000E+0,
3505.859400,7.00000000E+0,
3510.742200,1.00000000E+0,
3515.625000,7.00000000E+0,
3520.507800,5.00000000E+0,
3525.390600,7.00000000E+0,
3530.273400,6.00000000E+0,
3535.156300,8.00000000E+0,
3540.039100,4.00000000E+0,
3544.921900,3.00000000E+0,
3549.804700,7.00000000E+0,
3554.687500,1.40000000E+1,
3559.57000,1.00000000E+1,
3564.453100,9.00000000E+0,
3569.335900,9.00000000E+0,
3574.218800,8.00000000E+0,
3579.101600,5.00000000E+0,
3583.984400,7.00000000E+0,
3588.867200,6.00000000E+0,
3593.75000,5.00000000E+0,
3598.632800,9.00000000E+0,
3603.515600,5.00000000E+0,
3608.398400,7.00000000E+0,
3613.281300,8.00000000E+0,
3618.164100,9.00000000E+0,
3623.046900,8.00000000E+0,
3627.93000,5.00000000E+0,
3632.812500,8.00000000E+0,
3637.695300,1.10000000E+1,
3642.578100,6.00000000E+0,
3647.460900,9.00000000E+0,
3652.343800,7.00000000E+0,
3657.226600,3.00000000E+0,
3662.109400,8.00000000E+0,
3666.992200,9.00000000E+0,
3671.875000,3.00000000E+0,
3676.757800,4.00000000E+0,
3681.640600,6.00000000E+0,
3686.523400,6.00000000E+0,
3691.406300,7.00000000E+0,
3696.289100,8.00000000E+0,
3701.171900,6.00000000E+0,
3706.054700,1.20000000E+1,
3710.937500,5.00000000E+0,
3715.82000,1.30000000E+1,
3720.703100,8.00000000E+0,
3725.585900,8.00000000E+0,
3730.468800,2.00000000E+0,
3735.351600,4.00000000E+0,
3740.234400,5.00000000E+0,
3745.117200,6.00000000E+0,
3750.00,8.00000000E+0,
3754.882800,1.40000000E+1,
3759.765600,6.00000000E+0,
3764.648400,9.00000000E+0,
3769.531300,5.00000000E+0,
3774.414100,6.00000000E+0,
3779.296900,8.00000000E+0,
3784.18000,9.00000000E+0,
3789.062500,9.00000000E+0,
3793.945300,8.00000000E+0,
3798.828100,6.00000000E+0,
3803.710900,5.00000000E+0,
3808.593800,3.00000000E+0,
3813.476600,4.00000000E+0,
3818.359400,6.00000000E+0,
3823.242200,7.00000000E+0,
3828.125000,6.00000000E+0,
3833.007800,9.00000000E+0,
3837.890600,1.20000000E+1,
3842.773400,6.00000000E+0,
3847.656300,5.00000000E+0,
3852.539100,9.00000000E+0,
3857.421900,1.10000000E+1,
3862.304700,9.00000000E+0,
3867.187500,1.40000000E+1,
3872.07000,9.00000000E+0,
3876.953100,7.00000000E+0,
3881.835900,7.00000000E+0,
3886.718800,1.00000000E+1,
3891.601600,5.00000000E+0,
3896.484400,7.00000000E+0,
3901.367200,6.00000000E+0,
3906.25000,1.00000000E+0,
3911.132800,7.00000000E+0,
3916.015600,1.00000000E+1,
3920.898400,7.00000000E+0,
3925.781300,1.00000000E+1,
3930.664100,1.00000000E+1,
3935.546900,6.00000000E+0,
3940.43000,6.00000000E+0,
3945.312500,1.10000000E+1,
3950.195300,1.00000000E+1,
3955.078100,6.00000000E+0,
